Scenario,Model,avg_wait,avg_los,wait_l1,los_l1,wait_l2,los_l2,wait_l3,los_l3,wait_l4,los_l4,wait_l5,los_l5,ed_occ,icu_occ,total_reservations,precision,expired_rate,wasted_mins
normal,FCFS,100.89555493012813,282.37867894437477,23.582035964930526,234.90028761989288,84.81184284407641,334.41367145966694,104.09606139863796,412.6811999156386,103.05414397838075,200.9886028654001,113.38153607626343,167.99136290744195,0.9017732407407406,0.08925092592592593,0.0,0.0,0.0,0.0
normal,Agent,118.39620230632768,299.87932632057436,9.658124765118679,220.97637642008104,59.045101611140105,308.6469302267306,109.67485775837487,418.2599962753755,134.72450308618727,232.65896197320657,163.21495450551524,217.82478133669375,0.9017732407407406,0.08925092592592593,1030.3333333333333,0.03404273484887808,0.3874807787700058,14756.719094666661
moderate_congestion,FCFS,485.4620480085576,666.9451720228043,145.30865536813806,356.6269070231004,439.59325979334466,689.1950884089352,496.7873692726975,805.372507789698,499.04835466180106,596.9828135488204,513.8571936087106,568.4670204398893,1.0,0.11900123456790124,0.0,0.0,0.0,0.0
moderate_congestion,Agent,498.234434907888,679.7175589221347,145.58691619696086,356.9051678519233,438.63590264277724,688.2377312583677,507.94912630713605,816.5342648241367,515.8766454733269,613.8111043603463,533.740563457449,588.3503902886274,1.0,0.11900123456790124,1938.0,0.014106468442579852,0.14770393147852998,13466.889686699991
ed_congestion,FCFS,2519.4299602477327,2700.9130842619793,720.6266847774431,931.9449364324054,2316.1762830504717,2565.778111666062,2577.597960133791,2886.1830986507916,2597.3903940800933,2695.324852967113,2620.7517539270043,2675.3615807581823,1.0,0.22312731481481482,0.0,0.0,0.0,0.0
ed_congestion,Agent,2530.0383537252656,2711.521477739512,723.0429370342954,934.3611886892577,2320.437841105212,2570.0396697208025,2587.7872918006256,2896.3724303176264,2610.177297794724,2708.1117566817434,2633.5861876584217,2688.1960144896007,1.0,0.22312731481481482,2134.6666666666665,0.012637396115548226,0.18174858955928666,18096.007096361114
severe_congestion,FCFS,4290.33509721467,4471.818221228917,1220.292566819127,1431.610818474089,3950.2475289987465,4199.849357614337,4389.800453971144,4698.385592488145,4424.132351637144,4522.066810524164,4454.521871354676,4509.1316981858545,1.0,0.3570037037037037,0.0,0.0,0.0,0.0
severe_congestion,Agent,4305.211429801384,4486.6945538156315,1223.0917606517887,1434.410012306751,3959.9275662075092,4209.5293948231,4404.447384710878,4713.03252322788,4441.067403985753,4539.001862872773,4470.958102126725,4525.567928957903,1.0,0.3570037037037037,2233.0,0.011768492426879497,0.2116766718908268,21950.579505494443
icu_bottleneck,FCFS,909.7269601564421,1091.2100841706888,460.148387685791,671.4666393407534,854.802247186197,1104.4040758017875,922.1548779924725,1230.7400165094732,927.9752834942825,1025.909742381302,945.0313745568864,999.6412013880648,1.0,0.8754854166666667,0.0,0.0,0.0,0.0
icu_bottleneck,Agent,918.6460170722811,1100.1291410865276,458.38726848408743,669.7055201390498,859.8351228710721,1109.4369514866628,929.5246189620908,1238.1097574790913,938.6732096936056,1036.6076685806247,957.6293383082017,1012.2391651393804,1.0,0.8754854166666667,2025.0,0.0039549179730726325,0.14306420055012495,14270.835773744446
critical_burst,FCFS,100.89555493012813,282.37867894437477,23.582035964930526,234.90028761989288,84.81184284407641,334.41367145966694,104.09606139863796,412.6811999156386,103.05414397838075,200.9886028654001,113.38153607626343,167.99136290744195,0.9017732407407406,0.08925092592592593,0.0,0.0,0.0,0.0
critical_burst,Agent,118.39620230632768,299.87932632057436,9.658124765118679,220.97637642008104,59.045101611140105,308.6469302267306,109.67485775837487,418.2599962753755,134.72450308618727,232.65896197320657,163.21495450551524,217.82478133669375,0.9017732407407406,0.08925092592592593,1030.3333333333333,0.03404273484887808,0.3874807787700058,14756.719094666661
